id,system_number,label_id,description,executor,company,criticality,anomaly_id,date_start,date_end,datetime_start,datetime_end,adress_id,parent
73407319,00000001/21,1,Унитаз вода переливается,Аварийная служба (Дорогомилово),ГБУ «ЖИЛИЩНИК РАЙОНА ДОРОГОМИЛОВО»,Аварийная,1,2021-01-01 00:01,2021-01-01 01:05,,,1,73407319
73407334,00000002/21,2,"В большой комнате и туалете сильная течь, у соседей что то прорвало, вода хлещет",Мастерский участок № 14 (Крюково),ГБУ «ЖИЛИЩНИК ЗЕЛАО»,Аварийная,1,2021-01-01 00:05,2021-01-01 01:03,,,2,73407334
73407348,00000003/21,3,Батарея ледяная в комнате холодно,Аварийная Служба (Северное Медведково),ГБУ «ЖИЛИЩНИК РАЙОНА СЕВЕРНОЕ МЕДВЕДКОВО»,Аварийная,1,2021-01-01 00:10,2021-01-01 01:26,,,3,73407348
73407353,00000004/21,3,Нет отопления по всей квартире,Мастерский участок № 1 (Пресненский),ГБУ «ЖИЛИЩНИК ПРЕСНЕНСКОГО РАЙОНА»,Обычная,1,2021-01-01 00:11,2021-01-01 11:19,,,4,73407353
73407366,00000005/21,3,во всей квартире все батареи холодные,Аварийная Служба (Филевский Парк),ГБУ «ЖИЛИЩНИК РАЙОНА ФИЛЕВСКИЙ ПАРК»,Обычная,1,2021-01-01 00:13,2021-01-01 00:41,,,5,73407366
73407370,00000006/21,2,Аптека.,Аварийная Служба (Южнопортовый),ГБУ «ЖИЛИЩНИК РАЙОНА ЮЖНОПОРТОВЫЙ»,Аварийная,1,2021-01-01 00:15,2021-01-01 00:22,,,6,73407370
73407374,00000007/21,4,в квартире заявителя,РЭУ-3 (Люблино),ГБУ «ЖИЛИЩНИК РАЙОНА ЛЮБЛИНО»,Аварийная,1,2021-01-01 00:17,2021-01-01 01:50,,,7,73407374
73407382,00000008/21,5,Во дворе нет освещения,"АО ""ОЭК""",ГБУ «ЖИЛИЩНИК РАЙОНА ЩУКИНО»,Обычная,1,2021-01-01 00:18,2021-01-01 01:05,,,8,73407382
73407384,00000009/21,6,в подъезде ложное срабатывание система ДУ система ППА,ПТО (Ломоносовский),ГБУ «ЖИЛИЩНИК РАЙОНА ЛОМОНОСОВСКИЙ»,Обычная,2,2021-01-01 00:18,2021-01-01 00:19,,,9,73407384
73407395,00000010/21,2,стояк ГВС течет сверху течет труба,Мастерский участок № 2 (Коптево),ГБУ «ЖИЛИЩНИК РАЙОНА КОПТЕВО»,Аварийная,1,2021-01-01 00:21,2021-01-01 01:11,,,10,73407395
73407397,00000011/21,4,"в квартире заявителя,не выполнена.",Мастерский участок № 2 (Зюзино),ГБУ «ЖИЛИЩНИК РАЙОНА ЗЮЗИНО»,Аварийная,1,2021-01-01 00:22,2021-01-01 00:25,,,11,73407397
73407402,00000012/21,3,Проблема в том что отрубаю топление судя потому что,Аварийная Служба (Филевский Парк),ГБУ «ЖИЛИЩНИК РАЙОНА ФИЛЕВСКИЙ ПАРК»,Обычная,1,2021-01-01 00:22,2021-01-01 00:43,,,12,73407402
73407408,00000013/21,7,последние несколько дней на лестничной площадке 10го этажа отвратительный запах. Проветривание не помогает. Просьба разобраться с проблемой,Участок № 1 (Крылатское),ГБУ «ЖИЛИЩНИК РАЙОНА КРЫЛАТСКОЕ»,Обычная,4,2021-01-01 00:23,2021-01-01 11:01,,,13,73407408
73407418,00000014/21,2,место соединения с трубой,Аварийная служба (Выхино),ГБУ «ЖИЛИЩНИК ВЫХИНО РАЙОНА «ВЫХИНО-ЖУЛЕБИНО»,Аварийная,4,2021-01-01 00:25,2021-01-01 01:42,,,14,73407418
73407421,00000015/21,4,в квартире заявителя,Аварийная служба (Орехово-Борисово Северное),ГБУ «ЖИЛИЩНИК РАЙОНА ОРЕХОВО-БОРИСОВО СЕВЕРНОЕ»,Аварийная,1,2021-01-01 00:25,2021-01-01 01:00,,,15,73407421
73407423,00000016/21,3,Во всей квартире нет отопления стояки холодные,Аварийная Служба (Филевский Парк),ГБУ «ЖИЛИЩНИК РАЙОНА ФИЛЕВСКИЙ ПАРК»,Обычная,1,2021-01-01 00:25,2021-01-01 00:41,,,16,73407366
73407429,00000017/21,3,во всей квартире все батареи холодные стояк холодный,Мастерский участок № 1 (Пресненский),ГБУ «ЖИЛИЩНИК ПРЕСНЕНСКОГО РАЙОНА»,Обычная,4,2021-01-01 00:25,2021-01-01 11:19,,,17,73407353
73407438,00000018/21,4,в квартире заявителя,Аварийная служба (Хорошёвский),ГБУ «ЖИЛИЩНИК ХОРОШЕВСКОГО РАЙОНА»,Аварийная,1,2021-01-01 00:27,2021-01-01 01:29,,,18,73407438
73407443,00000019/21,8,Не открывается межкомнатная дверь в квартире.,Мастерский участок № 2 (Пресненский),ГБУ «ЖИЛИЩНИК ПРЕСНЕНСКОГО РАЙОНА»,Обычная,1,2021-01-01 00:28,2021-01-01 00:56,,,19,73407443
73407445,00000020/21,4,"обесточен офис,не выполнена.",Аварийная Служба (Зюзино),ГБУ «ЖИЛИЩНИК РАЙОНА ЗЮЗИНО»,Аварийная,1,2021-01-01 00:28,2021-01-01 01:08,,,20,73407445
73407450,00000021/21,4,в квартире заявителя при включении герлянды,Аварийная служба (Таганский),ГБУ «ЖИЛИЩНИК ТАГАНСКОГО РАЙОНА»,Аварийная,1,2021-01-01 00:29,2021-01-01 00:44,,,21,73407450
73407452,00000022/21,9,грузовой,"ООО ""СП ПРАКТИКА""",ГБУ «ЖИЛИЩНИК БУТЫРСКОГО РАЙОНА»,Обычная,1,2021-01-01 00:29,2021-01-01 00:53,,,22,73407452
