index,id,name,district_id
0,1,Кутузовский проспект,805
1,2,город Зеленоград,1005
2,3,Студёный проезд,314
3,4,Большая Грузинская улица,106
4,5,Кастанаевская улица,818
5,6,Шарикоподшипниковская улица,515
6,7,улица Верхние Поля,508
7,8,улица Маршала Бирюзова,907
8,9,улица Гарибальди,706
9,10,бульвар Матроса Железняка,210
10,11,улица Каховка,703
12,12,Осенняя улица,806
13,13,Ферганский проезд,504
14,14,Шипиловская улица,616
17,15,Ленинградский проспект,217
18,16,улица Пресненский Вал,106
19,17,Сивашская улица,703
20,18,Новорогожская улица,107
21,19,улица Милашенкова,305
22,20,улица Вавилова,701
23,21,город Зеленоград,1012
24,22,улица Академика Капицы,704
25,23,Перовская улица,413
26,24,10-я улица Соколиной Горы,417
27,25,улица Михайлова,513
28,26,улица Кржижановского,701
29,27,Чусовская улица,406
30,28,улица 800-летия Москвы,206
32,29,улица Полины Осипенко,217
33,30,Ленинский проспект,707
34,31,Сумской проезд,619
35,32,1-я улица Бебеля,213
36,33,улица Введенского,704
37,34,проезд Русанова,313
38,35,Ярославское шоссе,317
39,36,Боровское шоссе,811
41,37,улица Островитянова,704
42,38,Большая Академическая улица,210
43,39,Изумрудная улица,307
45,40,проезд Дежнёва,316
46,41,улица Большая Полянка,110
47,42,улица Наташи Качуевской,409
48,43,Есенинский бульвар,506
49,44,Грайвороновская улица,514
50,45,Севастопольский проспект,710
51,46,Люблинская улица,508
52,47,Широкая улица,314
53,48,Большая Внуковская улица,813
54,49,Булатниковский проезд,607
55,50,Каскадная улица,409
56,51,Долгопрудная аллея,315
57,52,проспект Маршала Жукова,906
58,53,Снежная улица,313
59,54,Даниловская набережная,609
60,55,Измайловский бульвар,405
61,56,улица Маршала Мерецкова,907
63,57,Братиславская улица,509
64,58,Краснопрудная улица,104
65,59,Дмитровское шоссе,203
66,60,улица Соловьиная Роща,901
67,61,Перервинский бульвар,509
68,62,Коктебельская улица,708
69,63,улица Ляпидевского,216
70,64,улица Коминтерна,303
72,65,улица Верхние Поля,509
73,66,Солнцевский проспект,816
76,67,Сеславинская улица,818
78,68,проспект Вернадского,817
79,69,Енисейская улица,303
80,70,Белореченская улица,509
81,71,12-я Новокузьминская улица,513
83,72,Новокузнецкая улица,103
84,73,Лухмановская улица,409
86,74,3-я Парковая улица,408
87,75,9-я Северная линия,315
89,76,Стрелецкая улица,309
90,77,Инициативная улица,819
91,78,Кавказский бульвар,618
92,79,Хорошёвское шоссе,217
93,80,улица Народного Ополчения,907
94,81,улица Говорова,809
95,82,Большая Филёвская улица,818
96,83,Святоозерская улица,409
98,84,Аргуновская улица,310
99,85,Маломосковская улица,301
100,86,Олимпийский проспект,105
101,87,улица Плещеева,304
104,88,улица Павла Корчагина,301
105,89,улица Генерала Кузнецова,504
106,90,улица Конёнкова,304
107,91,город Зеленоград,1009
108,92,Луговой проезд,509
113,93,Одесская улица,703
114,94,2-я Филёвская улица,818
115,95,Востряковский проезд,607
117,96,Игарский проезд,313
119,97,Столярный переулок,106
120,98,улица Маршала Полубоярова,504
121,99,Челябинская улица,407
127,100,Гурьевский проезд,617
128,101,Шенкурский проезд,304
129,102,Ельнинская улица,807
131,103,Армавирская улица,508
133,104,Чечёрский проезд,711
134,105,Шмитовский проезд,106
137,106,улица Барклая,818
138,107,улица Тёплый Стан,709
140,108,Ленинградский проспект,202
143,109,Туристская улица,904
145,110,Днепропетровская улица,620
147,111,улица Намёткина,710
148,112,Локомотивный проезд,215
149,113,улица Перерва,509
